"Which letter makes the sound 'TH' (as in The)?","Δ (Delta).","Delta."
"Which letters combine to make the 'B' sound?","Μ + Π (Mp).","Mpampas."
"Which letters combine to make the 'D' sound?","Ν + Τ (Nt).","Ntomata."
"Which letters combine to make the 'U' sound?","Ο + Υ (Ou).","Ouranos."
"Translate the sound 'Gk'.","Hard G (Gate).","Gkazi."
"Which letter is 'Lambda'?","Λ.","L."
"Which letter is 'Xi'?","Ξ (KS).","Taxi."
"Which letter is 'Psi'?","Ψ (PS).","Psychology."
"What sound does 'Ai' make?","'E' (as in Egg).","Aima (Ema)."
"What sound does 'Ei' make?","'I' (as in It).","Eikona (Ikona)."
